"";"id";"Datum_Abgeschickt";"Schlussseite";"Sprache";"Zufallsstartwert";"Datum_erste_aktivität";"Datum_letzte_aktivität";"Alter";"Deutschkenntnisse";"Hauptwohnsitz";"Sehbeeinträchtigung";"Bezug_zum_Gesundheitssystem";"Geschlecht";"Bildungsabschluss";"Bildungsabschluss_Sonstiges";"Wo_Medizinische_Leistung";"Wo_Krankenversicherung";"pol_Orientierung";"Anzahl_pers_Kontakte_mit_Gesundheitssystem";"Systemabhängigkeit_Gruppe";"MC_Anteil";"MC_Quelle";"MC_Jahr_falsch";"MC_Jahr_korrekt";"M_Check_pers_Auswirkung";"M_Check_Erfolg";"M_Check_Kontrollfrage";"Studienziel";"Gesamtzeit"
"1";1;"";11;"de";1078822069;"2026-03-27 12:27:19";"2026-03-27 12:49:14";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"5 - Eher rechts";2;2;"1/2";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"3";"1 (stimme überhaupt nicht zu)";5;"Herauszufinden inwiefern die Genauigkeit des Lesens von Berichten zur Meinungsbildung und Interpretation des Textes beiträgt. ";1317,14
"2";2;"";11;"de";2063139545;"2026-03-27 12:41:45";"2026-03-27 12:52:57";20;"Ja";"Ja";"Nein";"Ja";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";8;1;"1/3";"Professor für Datenanalyse";2038;"2058";"5";"6";5;"Den Zusammenhang zwischen der politischen Einstellung und der Einstellung gegenüber den Massnahmen der Regierung zu erfassen";674,6
"3";3;"2026-03-27 14:50:13";12;"de";1981731847;"2026-03-27 12:47:13";"2026-03-27 14:50:13";25;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Schaffhausen (SH)";"Schaffhausen (SH)";"3 - Eher links";2;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"5";5;"Vielleicht war das Ziel, zu überprüfen, wie sich das Mass an Misstrauen in das System, in dem man lebt (durch Text geprimt), darauf auswirkt, wie gross der wahrgenommene Einfluss des Systems auf das eigene Leben ist.";8152,23
"4";4;"";11;"de";1834706352;"2026-03-27 12:52:29";"2026-03-27 13:04:07";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";1;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"7 (stimme voll und ganz zu)";"5";5;"Die Überprüfung der Validität von Datenerhebung über Umfragen";700,63
"5";6;"2026-03-27 13:07:15";12;"de";132688534;"2026-03-27 12:53:46";"2026-03-27 13:07:15";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";50;1;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"5";5;"Vorhandensein von Vertrauen in staatliche Institutionen in der Schweiz";810,7
"6";7;"";11;"de";398346824;"2026-03-27 12:57:04";"2026-03-27 13:09:14";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";6;2;"Keine der oben genannten";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"5";"3";5;"Keine Ahning ";730,31
"7";9;"2026-03-27 13:17:52";12;"de";737229988;"2026-03-27 13:02:36";"2026-03-27 13:17:52";19;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";11;1;"3/4";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"4";5;"Entweder es war das Ziel zu sehen was die politische Einstellung mit dem Vertrauen/Glauben des Bundesrats und dessen Funktion im Gesundheitssystem und Einfluss in unserem Privatleben zu tun hat, oder wie gut man sich Zahlen merken kann anstatt von Texten oder wie gut man sich die Information vom zweiten Text merken kann (da die Fragen eigentlich nur vom zweiten Text waren und nur Zahlen als Antworten gegeben wurden ausser bei der ersten Frage)";944,43
"8";10;"2026-03-27 13:22:54";12;"de";283197369;"2026-03-27 13:05:53";"2026-03-27 13:22:54";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";4;2;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"7 (stimme voll und ganz zu)";"6";5;"Aufmerksamkeitsspannetest";1022,83
"9";12;"";11;"de";1523071728;"2026-03-27 13:13:57";"2026-03-27 13:25:53";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"1 - Sehr links";14;1;"3/5";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2034;"2038";"4";"3";5;"Das ist mir nicht ersichtlich, ich vermute, dass politische Einstellungen eine Rolle spielen, da ich dies als ungewöhnliche Frage in den demografischen Angaben empfunden habe.";717,14
"10";14;"";11;"de";1604857436;"2026-03-27 14:05:47";"2026-03-27 14:14:50";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zug (ZG)";"Zug (ZG)";"3 - Eher links";3;2;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2034;"2034";"5";"3";5;"Wie man zu Polizik steht";545,31
