"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","G01Q03","G02Q02","G03Q03","G03Q04","G03Q05","G03Q06","G05Q08","G04Q07","G05Q09","G06Q21","G06Q21[other]","G05Q10","G05Q10Copy","G05Q11","G05Q23","Systemabhaengigkeit","GruppeA","Gruppe2","G07Q19","G07Q16","G07Q17","G07Q18","G08Q27","G12Q25[SQ001]","G12Q25[SQ002]","G12Q25[SQ003]","G11Q41","G12Q42","G13Q27","interviewtime","groupTime23621","G01Q03Time","groupTime23623","G02Q02Time","groupTime23624","G03Q03Time","G03Q04Time","G03Q05Time","G03Q06Time","groupTime23790","G05Q08Time","groupTime23625","G04Q07Time","G05Q09Time","G06Q21Time","G05Q10Time","G05Q10CopyTime","G05Q11Time","G05Q23Time","groupTime24060","SystemabhaengigkeitTime","GruppeATime","Gruppe2Time","groupTime24213","G07Q19Time","groupTime24198","G07Q16Time","G07Q17Time","G07Q18Time","G08Q27Time","groupTime24880","G12Q25Time","groupTime24867","G11Q41Time","groupTime24281","G12Q42Time","groupTime24282","G13Q27Time"
"1",,"11","de","1078822069","2026-03-27 12:27:19","2026-03-27 12:49:14","","","21","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","5 - Eher rechts","2","2",,"","","1/2","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","3","1 (stimme überhaupt nicht zu)","5","Herauszufinden inwiefern die Genauigkeit des Lesens von Berichten zur Meinungsbildung und Interpretation des Textes beiträgt. ","",,"1317.14","43.45",,"71.2",,"12.79",,,,,,,"113.82",,,,,,,,"163.49",,,,"479.96",,"88.08",,,,,"51.69",,"227.22",,"65.44",,,
"2",,"11","de","2063139545","2026-03-27 12:41:45","2026-03-27 12:52:57","","","20","Ja","Ja","Nein",,"Ja","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","8","1","",,"","1/3","Professor für Datenanalyse","2038","2058","5","6","5","Den Zusammenhang zwischen der politischen Einstellung und der Einstellung gegenüber den Massnahmen der Regierung zu erfassen","",,"674.6","57.65",,"33.3",,"20.63",,,,,,,"57.04",,,,,,,,"163.69",,,,"192.77",,"51.77",,,,,"30.78",,"48.48",,"18.49",,,
"3","2026-03-27 14:50:13","12","de","1981731847","2026-03-27 12:47:13","2026-03-27 14:50:13","","","25","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Schaffhausen (SH)","Schaffhausen (SH)","3 - Eher links","2","2",,"","","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","6","5","5","Vielleicht war das Ziel, zu überprüfen, wie sich das Mass an Misstrauen in das System, in dem man lebt (durch Text geprimt), darauf auswirkt, wie gross der wahrgenommene Einfluss des Systems auf das eigene Leben ist.","","","8152.23","21.15",,"22.5",,"16.27",,,,,,,"138.94",,,,,,,,"5429.26",,,,"382.44",,"45.71",,,,,"68.17",,"264.54",,"224.45",,"1538.8",
"4",,"11","de","1834706352","2026-03-27 12:52:29","2026-03-27 13:04:07","","","21","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","1","2",,"","","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","7 (stimme voll und ganz zu)","5","5","Die Überprüfung der Validität von Datenerhebung über Umfragen","",,"700.63","32.94",,"11.15",,"13.15",,,,,,,"62.51",,,,,,,,"124.63",,,,"242.47",,"54.16",,,,,"42.03",,"52.61",,"64.98",,,
"5",,"3","de","324071642","2026-03-27 12:53:06","2026-03-27 12:54:26","","","15","Ja","Ja","Nein",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"81.02","23.44",,"31.11",,"26.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","2026-03-27 13:07:15","12","de","132688534","2026-03-27 12:53:46","2026-03-27 13:07:15","","","21","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","50","1","",,"","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","5","5","5","Vorhandensein von Vertrauen in staatliche Institutionen in der Schweiz","","","810.7","5.29",,"6.79",,"10.23",,,,,,,"65.24",,,,,,,,"125.38",,,,"194.61",,"268.37",,,,,"46.7",,"67.19",,"14.65",,"6.25",
"7",,"11","de","398346824","2026-03-27 12:57:04","2026-03-27 13:09:14","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","6","2",,"","","Keine der oben genannten","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","2058","5","3","5","Keine Ahning ","",,"730.31","4.74",,"5.91",,"18.34",,,,,,,"241.04",,,,,,,,"128.45",,,,"192.5",,"71.1",,,,,"50.66",,"7.91",,"9.66",,,
"8",,,"de","831978422","2026-03-27 12:57:39","2026-03-27 12:57:39",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","2026-03-27 13:17:52","12","de","737229988","2026-03-27 13:02:36","2026-03-27 13:17:52","","","19","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","11","1","",,"","3/4","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","6","4","5","Entweder es war das Ziel zu sehen was die politische Einstellung mit dem Vertrauen/Glauben des Bundesrats und dessen Funktion im Gesundheitssystem und Einfluss in unserem Privatleben zu tun hat, oder wie gut man sich Zahlen merken kann anstatt von Texten oder wie gut man sich die Information vom zweiten Text merken kann (da die Fragen eigentlich nur vom zweiten Text waren und nur Zahlen als Antworten gegeben wurden ausser bei der ersten Frage)","","","944.43","25.37",,"22.78",,"20.69",,,,,,,"85.04",,,,,,,,"141.82",,,,"184.8",,"135.46",,,,,"32.43",,"143.89",,"98.71",,"53.44",
"10","2026-03-27 13:22:54","12","de","283197369","2026-03-27 13:05:53","2026-03-27 13:22:54","","","21","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","4","2",,"","","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","7 (stimme voll und ganz zu)","6","5","Aufmerksamkeitsspannetest","","","1022.83","33.55",,"13.34",,"24.78",,,,,,,"66.31",,,,,,,,"131.12",,,,"450.47",,"59.22",,,,,"76.94",,"55.72",,"100.18",,"11.2",
"11",,,"de","989382889","2026-03-27 13:07:44","2026-03-27 13:07:44",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12",,"11","de","1523071728","2026-03-27 13:13:57","2026-03-27 13:25:53","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","1 - Sehr links","14","1","",,"","3/5","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2034","2038","4","3","5","Das ist mir nicht ersichtlich, ich vermute, dass politische Einstellungen eine Rolle spielen, da ich dies als ungewöhnliche Frage in den demografischen Angaben empfunden habe.","",,"717.14","12.17",,"3.34",,"19.31",,,,,,,"57.6",,,,,,,,"123.7",,,,"185.62",,"80.42",,,,,"45.47",,"158.12",,"31.39",,,
"13",,"5","de","319585310","2026-03-27 13:40:53","2026-03-27 13:43:03","","","21","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","6","2",,,,,,,,"","","",,,,"131.1","5.36",,"10.66",,"22.03",,,,,,,"93.05",,,,,,,,,,,,,,,,,,,,,,,,,,
"14",,"11","de","1604857436","2026-03-27 14:05:47","2026-03-27 14:14:50","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zug (ZG)","Zug (ZG)","3 - Eher links","3","2",,"","","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2034","2034","5","3","5","Wie man zu Polizik steht","",,"545.31","5.02",,"3.27",,"14.94",,,,,,,"61.48",,,,,,,,"142.42",,,,"227.78",,"30.61",,,,,"35.71",,"12.99",,"11.09",,,
"15","2026-03-27 14:45:19","12","de","109636047","2026-03-27 14:10:02","2026-03-27 14:45:19","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Luzern (LU)","Zug (ZG)","4 - Mitte","10","2",,"","","Keine der oben genannten","Professor für Datenanalyse","2038","2043","6","6","5","politische Einstellung und Einschätzung der Auswirkung des Bundesrats oderso","","","2178.1","608.51",,"79.5",,"39.81",,,,,,,"111.22",,,,,,,,"126.1",,,,"911.44",,"67.96",,,,,"22.17",,"27.49",,"64.76",,"119.14",
"16",,"5","de","1165217317","2026-03-27 14:10:54","2026-03-27 14:13:07","","","54","Ja","Ja","Nein",,"Nein","Weiblich","Bachelorabschluss (Fachhochschule (FH))","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","12","2",,,,,,,,"","","",,,,"132.57","32.11",,"11.85",,"21.88",,,,,,,"66.73",,,,,,,,,,,,,,,,,,,,,,,,,,
"17",,"11","de","16667023","2026-03-27 14:22:25","2026-03-27 14:35:02","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","3","1","",,"","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","3","2","5","Ob dee Inhalt des Textes eine Einstellung verändert","",,"756.07","26.41",,"10.12",,"15.14",,,,,,,"67.97",,,,,,,,"128.12",,,,"215.24",,"205.63",,,,,"33.94",,"27.06",,"26.44",,,
"18",,"6","de","56050347","2026-03-27 14:27:09","2026-03-27 14:31:42","","","21","Ja","Ja","Nein",,"Ja","Männlich","Bachelorabschluss (Fachhochschule (FH))","","Zürich (ZH)","Zürich (ZH)","5 - Eher rechts","6","1","",,,,,,,"","","",,,,"274.41","26.91",,"35.6",,"27.17",,,,,,,"60.19",,,,,,,,"124.54",,,,,,,,,,,,,,,,,,
"19","2026-03-27 14:46:21","12","de","1085057402","2026-03-27 14:31:20","2026-03-27 14:46:21","","","22","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","20","1","",,"","1/3","Journalist für Keystone-SDA","2038","2058","5","2","5","Möglicherweise etwas mit Priming untersuchen ","","","970.22","13.94",,"29.55",,"19.99",,,,,,,"94.03",,,,,,,,"171.14",,,,"230.16",,"78.97",,,,,"49.76",,"47.18",,"99.34",,"136.16",
"20","2026-03-27 14:51:22","12","de","1681135604","2026-03-27 14:37:05","2026-03-27 14:51:22","","","20","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","6","2",,"","","1/2","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2058","2038","5","5","5","evtl. Aufmerksamkeit und Leseverständnis der Leser:innen mit ihrer politischen Meinung/Bildungsgrad zu vergleichen","","","861.75","19.37",,"5.29",,"13.74",,,,,,,"51.63",,,,,,,,"159.33",,,,"299.36",,"138.66",,,,,"46.5",,"83.68",,"38.44",,"5.75",
"21",,"6","de","1160649804","2026-03-27 14:39:00","2026-03-27 14:55:32","","","19","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","1 - Sehr links","0","1","",,,,,,,"","","",,,,"992.34","67.19",,"7.45",,"37.2",,,,,,,"49.54",,,,,,,,"830.96",,,,,,,,,,,,,,,,,,
"22",,"9","de","1625726410","2026-03-27 14:49:20","2026-03-27 15:09:46","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","2","2",,"","","Keine der oben genannten","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","2058","4","4","5","",,,"1216.67","41.93",,"7.11",,"23.22",,,,,,,"451.09",,,,,,,,"170.65",,,,"250.49",,"183.3",,,,,"58.7",,"30.18",,,,,
"23","2026-03-27 15:09:41","12","de","1287243216","2026-03-27 14:58:23","2026-03-27 15:09:41","","","24","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Aargau (AG)","Aargau (AG)","2 - Links","5","2",,"","","1/3","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","2058","5","2","5","Zusammenhang zwischen politischer Ausrichtung und Bewertung des Gesundheitssystems und des Bundesrates und dessen Wirksamkeit oder Einfluss zu untersuchen.","","","720.71","15.06",,"16.98",,"17.74",,,,,,,"56.15",,,,,,,,"133.41",,,,"218.68",,"50.31",,,,,"41.78",,"61.7",,"26.89",,"82.01",
"24","2026-03-27 15:21:46","12","de","1782459611","2026-03-27 15:10:20","2026-03-27 15:21:46","","","21","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","1","2",,"","","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","6","5","5","Messen des Einflusses von Zeitungsartikeln auf politische Einstellung.","","","688.98","66.07",,"13.23",,"13.17",,,,,,,"56.73",,,,,,,,"123.53",,,,"224.53",,"67.3",,,,,"29.95",,"30.44",,"60.44",,"3.59",
"25","2026-03-27 16:12:55","12","de","2080211360","2026-03-27 15:51:41","2026-03-27 16:12:55","","","54","Ja","Ja","Nein",,"Nein","Weiblich","Bachelorabschluss (Fachhochschule (FH))","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","12","2",,"","","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","3","4","5","Ich denke, es ging darum zu überprüfen, ob Menschen sich konzentrieren können, wenn sie an Studien teilnehmen.","","","1277.23","6.35",,"3.79",,"15.67",,,,,,,"48.6",,,,,,,,"347.54",,,,"279.43",,"401.13",,,,,"56.42",,"65.44",,"47.68",,"5.18",
"26","2026-03-27 16:17:16","12","de","346007308","2026-03-27 16:06:28","2026-03-27 16:17:16","","","21","Ja","Ja","Nein",,"Ja","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","6 - Rechts","5","2",,"","","2/5","Keine der oben genannten","2058","2038","3","5","5","Unter anderem Feststellen der Aufmerksamkeit von Partizipierenden.","","","651.62","7.21",,"13",,"21.15",,,,,,,"71.49",,,,,,,,"152.48",,,,"183.16",,"45.67",,,,,"24.77",,"35.93",,"55.65",,"41.11",
"27",,,"de","262467335","2026-03-27 16:29:38","2026-03-27 16:29:38",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28","2026-03-27 16:56:16","12","de","1224085414","2026-03-27 16:37:18","2026-03-27 16:56:16","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","15","2",,"","","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","5","3","5","aufnahme von zwei texten direkt hintereinander und konzentriertes lesen","","","1138.98","34.59",,"14.77",,"56.2",,,,,,,"273.27",,,,,,,,"148.14",,,,"212.56",,"115.86",,,,,"68.31",,"119.45",,"86.05",,"9.78",
"29","2026-03-27 16:59:45","12","de","994251443","2026-03-27 16:44:52","2026-03-27 16:59:45","","","58","Ja","Ja","Nein",,"Nein","Männlich","Masterabschluss (Universität/ETH)","","Zürich (ZH)","Zürich (ZH)","6 - Rechts","3","1","",,"","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2058","2038","1 (stimme überhaupt nicht zu)","2","5","Aufmerksamkeit testen ","","","895.02","14.86",,"18.23",,"43.05",,,,,,,"95.63",,,,,,,,"161.29",,,,"228.43",,"112.28",,,,,"50.88",,"71.95",,"76.84",,"21.58",
"30",,"11","de","1895571184","2026-03-27 17:02:09","2026-03-27 17:11:39","","","18","Ja","Ja","Nein",,"Nein","Divers","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","0","1","",,"","1/3","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","2058","4","2","5","Keine Ahnung","",,"573.89","9.65",,"14.67",,"14.06",,,,,,,"48.47",,,,,,,,"127.45",,,,"269.29",,"36.09",,,,,"22.09",,"6.26",,"25.86",,,
"31",,,"de","1132208339","2026-03-27 17:06:31","2026-03-27 17:06:31",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32",,"6","de","2083109899","2026-03-27 17:08:43","2026-03-27 17:17:41","","","20","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Aargau (AG)","Aargau (AG)","3 - Eher links","10","1","",,,,,,,"","","",,,,"537.92","6.3",,"4.65",,"13.47",,,,,,,"57.38",,,,,,,,"456.12",,,,,,,,,,,,,,,,,,
"33","2026-03-27 17:27:29","12","de","709231826","2026-03-27 17:09:11","2026-03-27 17:27:29","","","19","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","1","2",,"","","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","4","4","5","Einfluss des Artikels auf die Meinungsbildung bezüglich dem Einfluss des Bundes auf das persönliche Leben von Schweizer. Durch Ablenkung (2. Artikel) soll die eignen Meinungsbildung verhindert werden und der Einfluss des 1. Artikels auf die Eigene Meinung maximiert. ","","","1168.03","44.55",,"24.92",,"25.07",,,,,,,"135.63",,,,,,,,"165.06",,,,"321.23",,"65.41",,,,,"52.33",,"94.95",,"105.66",,"133.22",
"34",,"11","de","1230908932","2026-03-27 17:12:13","2026-03-27 17:21:50","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","1 - Sehr links","30","2",,"","","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","6","5","5","Ich weiss es nicht","",,"577.42","29.04",,"12.06",,"10.88",,,,,,,"57.04",,,,,,,,"127.93",,,,"226.18",,"35.81",,,,,"22.28",,"7.71",,"48.49",,,
"35",,"2","de","1436266755","2026-03-27 17:12:47","2026-03-27 17:13:26","","",,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"39.95","33.45",,"6.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36","2026-03-27 17:43:06","12","de","1197561090","2026-03-27 17:14:42","2026-03-27 17:43:06","","","19","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","2","1","",,"","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","6","2","5","Den Einfluss des ersten Textes (wahrscheinlich einmal Regierung hat einen Einfluss auf den persönlichen Erfolg von Individuen und einmal nicht) auf die Antworten später zu diesen Fragen.","","","1618.48","101.28",,"15.75",,"34.32",,,,,,,"55.97",,,,,,,,"428.86",,,,"494.42",,"59.1",,,,,"50.63",,"187.93",,"184.95",,"5.27",
"37",,,"de","500011929","2026-03-27 18:04:00","2026-03-27 18:04:00",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38",,,"de","1226973283","2026-03-27 18:04:26","2026-03-27 18:04:26",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39",,"3","de","263643877","2026-03-27 18:04:33","2026-03-27 18:05:41","","","22","Ja","Nein","Nein",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"69.65","38.79",,"7.31",,"23.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40",,"1","de","1606773864","2026-03-27 18:18:20","2026-03-27 18:28:58","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"638.57","638.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41",,"11","de","651772221","2026-03-27 18:19:05","2026-03-27 18:35:23","","","23","Ja","Ja","Nein",,"Ja","Weiblich","Gymnasium/Maturität","","St. Gallen (SG)","St. Gallen (SG)","Keine Angabe","7","2",,"","","1/4","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","5","6","5","Ob man eine positive Einstellung gegenüber dem Bundesrat hat ","",,"979.22","40.54",,"18.26",,"25.14",,,,,,,"272.83",,,,,,,,"127.88",,,,"223.15",,"93.49",,,,,"40.35",,"69.89",,"67.69",,,
"42",,"1","de","1146271889","2026-03-27 18:35:30","2026-03-27 18:35:59","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"29.1","29.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","2026-03-27 20:30:59","12","de","1701959821","2026-03-27 18:36:15","2026-03-27 20:30:59","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","1 - Sehr links","25","2",,"","","1/3","Journalist für Keystone-SDA","2038","2058","5","5","5","Systemrechtfertigungsmotiv erforschen und wie es Kognition beeinflusst ","","","806.33","40.22",,"25.59",,"18.07",,,,,,,"70.05",,,,,,,,"127.97",,,,"332.5",,"68.5",,,,,"38.5",,"61.58",,"17.94",,"5.41",
"44",,"6","de","1167221713","2026-03-27 18:38:29","2026-03-27 18:43:06","","","23","Ja","Ja","Nein",,"Nein","Weiblich","Bachelorabschluss (Universität/ETH)","","Appenzell Ausserrhoden (AR)","Appenzell Ausserrhoden (AR)","3 - Eher links","3","2",,"",,,,,,"","","",,,,"276.7","16.28",,"11.71",,"14.35",,,,,,,"75.81",,,,,,,,"158.55",,,,,,,,,,,,,,,,,,
"45","2026-03-27 18:55:39","12","de","1721109839","2026-03-27 18:38:45","2026-03-27 18:55:39","","","20","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","6","2",,"","","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","5","4","5","Festzustellen, wie verunsichernde Neuinformationen sich auf die persönliche Meinung auswirken.","","","1017.99","19.62",,"24.98",,"30.23",,,,,,,"70.67",,,,,,,,"146.6",,,,"358.72",,"74.62",,,,,"47.55",,"111.22",,"122.37",,"11.41",
"46","2026-03-27 19:02:05","12","de","530244533","2026-03-27 18:49:48","2026-03-27 19:02:05","","","24","Ja","Ja","Nein",,"Ja","Weiblich","Bachelorabschluss (Universität/ETH)","","Zürich (ZH)","Zürich (ZH)","5 - Eher rechts","100","1","",,"","1/2","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2053","4","2","5","Welche Art von Informationen man aus einem Artikel entnimmt. Wie leicht man sich beeinflussen lässt durch falsche Angaben in den Fragen. ","","","738.47","2.51",,"3.31",,"20.91",,,,,,,"111.24",,,,,,,,"169.87",,,,"207.67",,"59.06",,,,,"36.15",,"66.56",,"55.85",,"5.34",
"47","2026-03-27 19:01:52","12","de","1299231865","2026-03-27 18:50:02","2026-03-27 19:01:52","","","19","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","4","2",,"","","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","6","4","5","Leseverständnis","","","806.92","26.68",,"15.78",,"11.43",,,,,,,"96.15",,,,,,,,"124.58",,,,"183.05",,"53.51",,,,,"26.72",,"27.38",,"54.1",,"187.54",
"48",,"6","de","210777100","2026-03-27 18:53:05","2026-03-27 18:58:43","","","53","Ja","Ja","Nein",,"Nein","Männlich","Masterabschluss (Universität/ETH)","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","2","2",,"",,,,,,"","","",,,,"375.12","27.97",,"6.84",,"14.63",,,,,,,"290.49",,,,,,,,"35.19",,,,,,,,,,,,,,,,,,
